stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
0b0f26d3,0b0f26d3,Deep Market Ashok Vihar,,28.693817,77.173096,,,0,,,0,,
e81ed611,e81ed611,Kanhaiya Nagar,,28.682386,77.162552,,,0,,,0,,
e0fc223d,e0fc223d,J J Colony And Tri Nagar,,28.67841,77.166847,,,0,,,0,,
618d0c33,618d0c33,Shanti Nagar,,28.6772,77.167427,,,0,,,0,,
7224115f,7224115f,Inderlok Metro Station,,28.673491,77.169357,,,0,,,0,,
9dd33c11,9dd33c11,Mother Dairy Shastri Nagar,,28.671789,77.173683,,,0,,,0,,
ec20743e,ec20743e,Vicky Motors Shastri Nagar,,28.671541,77.174873,,,0,,,0,,
9493d7b6,9493d7b6,E Block Shastri Nagar,,28.671234,77.176437,,,0,,,0,,
789b1ed4,789b1ed4,Subhadhra Colony,,28.670982,77.177834,,,0,,,0,,
fa8b45d6,fa8b45d6,Shastri Nagar Metro Station,,28.67029,77.181335,,,0,,,0,,
7d26ff0d,7d26ff0d,Shastri Nagar,,28.670135,77.181679,,,0,,,0,,
2674398b,2674398b,Shastri Nagar A Block,,28.672848,77.186234,,,0,,,0,,
4bef7978,4bef7978,Gulabi Bagh Mandir,,28.673628,77.187202,,,0,,,0,,
a8cb3b3a,a8cb3b3a,Gurudwara Gulabi Bagh,,28.67654,77.189079,,,0,,,0,,
2cb2b4c9,2cb2b4c9,Bharat Nagar,,28.681236,77.184975,,,0,,,0,,
ef724e28,ef724e28,Skv Bharat Nagar,,28.682446,77.183945,,,0,,,0,,
36e67ca8,36e67ca8,Lakshmibai College Du,,28.684944,77.181396,,,0,,,0,,
bce0e289,bce0e289,Water Tanky Ashok Vihar,,28.68787,77.175034,,,0,,,0,,
265fcad3,265fcad3,Wazirpur Village,,28.689726,77.175522,,,0,,,0,,
fbdbb737,fbdbb737,Mr Crust Bakery,,28.691132,77.176216,,,0,,,0,,
5a05c966,5a05c966,Shiv Market,,28.691936,77.174881,,,0,,,0,,
103764fe,103764fe,Police Station Ashok Vihar,,28.692656,77.174141,,,0,,,0,,
c5c3866f,c5c3866f,Deep Market Ashok Vihar,,28.693808,77.17308,,,0,,,0,,
7d26ff0d,7d26ff0d,Shastri Nagar,,28.670135,77.181679,,,0,,,0,,
4a5de147,4a5de147,Anand Parvat,,28.663401,77.181442,,,0,,,0,,
7e40e279,7e40e279,Sarai Rohilla Railway Station,,28.661858,77.183464,,,0,,,0,,
0001e311,0001e311,Liberty Cinema,,28.659613,77.189957,,,0,,,0,,
4412a30c,4412a30c,Khalsa College,,28.655748,77.187675,,,0,,,0,,
0424c5d1,0424c5d1,Police Station Karol Bagh,,28.652828,77.192947,,,0,,,0,,
dc6ceba0,dc6ceba0,Karol Bagh Market,,28.652378,77.193726,,,0,,,0,,
ad8670e7,ad8670e7,Inderlok,,28.673452,77.170235,,,0,,,0,,
bba55867,bba55867,J J Colony,,28.679113,77.174667,,,0,,,0,,
e20eb607,e20eb607,Nimri Colony,,28.680559,77.175529,,,0,,,0,,
2efc2073,2efc2073,Bunkar Colony,,28.681658,77.176392,,,0,,,0,,
f4e85a81,f4e85a81,Deep Chand Bandu Hospital,,28.681196,77.17746,,,0,,,0,,
25d8dcd6,25d8dcd6,Police Station Bharat Nagar,,28.680731,77.178482,,,0,,,0,,
384741bc,384741bc,Dda Flats Bharat Nagar,,28.680496,77.183327,,,0,,,0,,
bb441d64,bb441d64,Kali Mata Mandir Bharat Nagar,,28.680992,77.185196,,,0,,,0,,
ad8670e7,ad8670e7,Inderlok,,28.673452,77.170235,,,0,,,0,,
cfcf1774,cfcf1774,Shanti Nagar,,28.67622,77.167625,,,0,,,0,,
2e952fa6,2e952fa6,Tri Nagar And J J Colony,,28.678368,77.16655,,,0,,,0,,
4a188192,4a188192,Ambika Motors Kanhaiya Nagar,,28.680645,77.165527,,,0,,,0,,
520fb95b,520fb95b,Tri Nagar Main Entrance,,28.681707,77.16497,,,0,,,0,,
0c573e23,0c573e23,Kanhaiya Nagar Metro Station,,28.682726,77.16436,,,0,,,0,,
ad8670e7,ad8670e7,Inderlok,,28.673452,77.170235,,,0,,,0,,
f0de61bb,f0de61bb,Vicky Motors Shastri Nagar,,28.671358,77.17498,,,0,,,0,,
68c6b44e,68c6b44e,E Block Shastri Nagar,,28.671253,77.176704,,,0,,,0,,
56c38bea,56c38bea,Subhadhra Colony,,28.671009,77.177826,,,0,,,0,,
ad52a920,ad52a920,Shastri Nagar Metro Station,,28.670227,77.181458,,,0,,,0,,
5e808e5c,5e808e5c,Kishan Ganj Red Light,,28.668673,77.192032,,,0,,,0,,
e8e4344e,e8e4344e,Pratap Nagar,,28.668154,77.194199,,,0,,,0,,
a853d963,a853d963,Pratap Nagar Metro Station,,28.666977,77.198105,,,0,,,0,,
6801af13,6801af13,Pratap Nagar,,28.666632,77.196869,,,0,,,0,,
a2f3ec8d,a2f3ec8d,Azad Market,,28.664314,77.208351,,,0,,,0,,
c76f8f72,c76f8f72,Sadar Bazar,,28.663309,77.211044,,,0,,,0,,
279c4546,279c4546,Crockery Market Sadar Bazar,,28.663055,77.21228,,,0,,,0,,
20b69034,20b69034,Mithai Pul Old Delhi,,28.662968,77.215218,,,0,,,0,,
6801af13,6801af13,Pratap Nagar,,28.666632,77.196869,,,0,,,0,,
c67a70b8,c67a70b8,Azad Nagar And Pratap Nagar,,28.667519,77.19545,,,0,,,0,,
58935268,58935268,Kishan Ganj,,28.668354,77.192345,,,0,,,0,,
7c496787,7c496787,Shastri Nagar Chowk,,28.669853,77.183777,,,0,,,0,,
d45423c6,d45423c6,Shastri Nagar Metro Station,,28.669996,77.181496,,,0,,,0,,
15f7a680,15f7a680,Subhadhra Colony,,28.670689,77.177917,,,0,,,0,,
8248bde5,8248bde5,Sarai Basti Dda Flats And E Block Shastri Nagar,,28.670988,77.176323,,,0,,,0,,
f36991a2,f36991a2,Power House,,28.671404,77.174301,,,0,,,0,,
748733fe,748733fe,Inderlok Metro,,28.672443,77.170013,,,0,,,0,,
ad8670e7,ad8670e7,Inderlok,,28.673452,77.170235,,,0,,,0,,
b40c8d2a,b40c8d2a,Inderlok Cooler Market,,28.670868,77.166618,,,0,,,0,,
7135d51a,7135d51a,Zakhira,,28.668495,77.164818,,,0,,,0,,
287b9fe3,287b9fe3,Maruti Suzuki Service Station,,28.66622,77.162926,,,0,,,0,,
4230dd24,4230dd24,La Stella Banquet,,28.665007,77.159409,,,0,,,0,,
4952931d,4952931d,Dlf Capital Flats,,28.663137,77.154602,,,0,,,0,,
2ccec9ca,2ccec9ca,Jindal Telecom Company,,28.662878,77.154129,,,0,,,0,,
62a65a1e,62a65a1e,Haldirams,,28.661158,77.15007,,,0,,,0,,
163129ef,163129ef,Karampura,,28.660563,77.147858,,,0,,,0,,
5e2f670e,5e2f670e,Moti Nagar Chowk,,28.659132,77.14518,,,0,,,0,,
8152b541,8152b541,Moti Nagar Metro Station,,28.658001,77.142807,,,0,,,0,,
a78b0897,a78b0897,Kirti Nagar Red Light,,28.656725,77.140594,,,0,,,0,,
1a24717d,1a24717d,Keshav Puram,,28.688944,77.161774,,,0,,,0,,
484e54c5,484e54c5,Kettle Bell Gym,,28.689991,77.160469,,,0,,,0,,
122f9776,122f9776,B4 Market Keshavpuram,,28.688999,77.159317,,,0,,,0,,
a4f1f360,a4f1f360,C3 Mandir Gurudwara,,28.689281,77.157394,,,0,,,0,,
14d7142d,14d7142d,Skv No 1 And 2 School,,28.689886,77.156006,,,0,,,0,,
46b2bb53,46b2bb53,Meeting Point,,28.690248,77.1549,,,0,,,0,,
c07e046c,c07e046c,C2 Rani Jhansi Kunj Flats,,28.68721,77.154099,,,0,,,0,,
852f1053,852f1053,A1 Keshavpuram,,28.683193,77.154533,,,0,,,0,,
b21450f5,b21450f5,Rampura Red Light,,28.681097,77.154755,,,0,,,0,,
5a3d42eb,5a3d42eb,Britania Chowk,,28.682789,77.146667,,,0,,,0,,
1a24717d,1a24717d,Keshav Puram,,28.688944,77.161774,,,0,,,0,,
6d078f2d,6d078f2d,Nagpal Chole Bhature,,28.684731,77.166824,,,0,,,0,,
c51c67da,c51c67da,Major Dhyan Chand Sports Complex,,28.685125,77.167847,,,0,,,0,,
e203a7fc,e203a7fc,Montfort School,,28.685867,77.169815,,,0,,,0,,
19c9a27e,19c9a27e,Murga Market Wazirpur,,28.687023,77.173164,,,0,,,0,,
bcf4bb1b,bcf4bb1b,Wazirpur Village,,28.689651,77.175484,,,0,,,0,,
eea7e2c5,eea7e2c5,Mr Crust Bakery,,28.691031,77.176315,,,0,,,0,,
dd2bc95e,dd2bc95e,Shiv Market,,28.691963,77.174828,,,0,,,0,,
d3578cce,d3578cce,Police Station Ashok Vihar,,28.692617,77.174141,,,0,,,0,,
bb5eae41,bb5eae41,Deep Market,,28.69372,77.172935,,,0,,,0,,
c56bbe1c,c56bbe1c,Rithala,,28.720821,77.105042,,,0,,,0,,
29c0fdb7,29c0fdb7,Maharaja Agarsen College,,28.720736,77.066475,,,0,,,0,,
f5fd6892,f5fd6892,Begampur,,28.721746,77.064835,,,0,,,0,,
c56bbe1c,c56bbe1c,Rithala,,28.720821,77.105042,,,0,,,0,,
b5177d26,b5177d26,Sector 25 Redlight,,28.730814,77.093056,,,0,,,0,,
3bf7d838,3bf7d838,Deep Vihar,,28.73238,77.085732,,,0,,,0,,
83013849,83013849,Maan Properties,,28.730227,77.082878,,,0,,,0,,
4ad8860f,4ad8860f,Pocket 27 Sector 24,,28.732668,77.085915,,,0,,,0,,
c53eb080,c53eb080,Sector 24,,28.734221,77.087402,,,0,,,0,,
c56bbe1c,c56bbe1c,Rithala,,28.720821,77.105042,,,0,,,0,,
59d37629,59d37629,Petrol Pump,,28.712456,77.102272,,,0,,,0,,
be241e3b,be241e3b,Mount Abu Junior School,,28.712122,77.102028,,,0,,,0,,
7ca5ce2b,7ca5ce2b,Khanna Meat Shop,,28.710707,77.101456,,,0,,,0,,
829ec9f9,829ec9f9,Aarti Medical,,28.709202,77.09861,,,0,,,0,,
c56bbe1c,c56bbe1c,Rithala,,28.720821,77.105042,,,0,,,0,,
ffe3f82d,ffe3f82d,Rithala,,28.716852,77.101913,,,0,,,0,,
d057097a,d057097a,Rithala 990 Bus Stand,,28.717335,77.10144,,,0,,,0,,
21871ad0,21871ad0,Lal Mandir Budh Vihar,,28.716564,77.093452,,,0,,,0,,
4752783a,4752783a,Baba Namkeen,,28.716232,77.0924,,,0,,,0,,
2a9eba68,2a9eba68,Shambhu Sharma Office Budh Vihar,,28.715265,77.089828,,,0,,,0,,
c56bbe1c,c56bbe1c,Rithala,,28.720821,77.105042,,,0,,,0,,
24efd46b,24efd46b,Metro Walk,,28.724586,77.111816,,,0,,,0,,
996352df,996352df,Rohini Sec 11,,28.727373,77.114326,,,0,,,0,,
a3768b16,a3768b16,Bansi Wala,,28.732187,77.11824,,,0,,,0,,
3a4711c5,3a4711c5,Garg Trade Center,,28.7351,77.114052,,,0,,,0,,
834e198c,834e198c,Sector 16 17 Dividing,,28.736115,77.115051,,,0,,,0,,
87cfd87c,87cfd87c,Mother Dairy,,28.739128,77.117706,,,0,,,0,,
005ae8e7,005ae8e7,Rohini Sector 16,,28.740757,77.121674,,,0,,,0,,
e4776238,e4776238,Tau Ji Ki Chaat,,28.739454,77.123825,,,0,,,0,,
f89ed420,f89ed420,Samaypur Badli,,28.744772,77.133324,,,0,,,0,,
9361c00a,9361c00a,Badli Metro And Railway Station,,28.745398,77.137383,,,0,,,0,,
f453ca34,f453ca34,Samaypur Badli,,28.742872,77.146545,,,0,,,0,,
8781ca1e,8781ca1e,Badli,,28.744791,77.132057,,,0,,,0,,
4f21bc6b,4f21bc6b,Rohini Sec 18,,28.740942,77.132927,,,0,,,0,,
e8d86a09,e8d86a09,Bansal Bhawan,,28.736155,77.12899,,,0,,,0,,
85969a69,85969a69,Rohini Sec 15,,28.731937,77.125229,,,0,,,0,,
09b41f5e,09b41f5e,Dseu  Rohini,,28.728195,77.124352,,,0,,,0,,
6dd53b93,6dd53b93,Golden Crown Banquet,,28.727674,77.125107,,,0,,,0,,
e6577ca5,e6577ca5,Esi Hospital,,28.727186,77.125824,,,0,,,0,,
0fc9ed67,0fc9ed67,Samay Vihar Apartment,,28.724886,77.125999,,,0,,,0,,
4acc3327,4acc3327,Suvidha Apartment,,28.721626,77.123123,,,0,,,0,,
41fd0491,41fd0491,Sec 9 Rohini,,28.716101,77.11808,,,0,,,0,,
686cf4ba,686cf4ba,Unity Mall Rohini,,28.714653,77.116821,,,0,,,0,,
322e165b,322e165b,Dr Ambedkar Hospital,,28.715269,77.114883,,,0,,,0,,
f453ca34,f453ca34,Samaypur Badli,,28.742872,77.146545,,,0,,,0,,
8781ca1e,8781ca1e,Badli,,28.744791,77.132057,,,0,,,0,,
4f21bc6b,4f21bc6b,Rohini Sec 18,,28.740942,77.132927,,,0,,,0,,
e8d86a09,e8d86a09,Bansal Bhawan,,28.736155,77.12899,,,0,,,0,,
85969a69,85969a69,Rohini Sec 15,,28.731937,77.125229,,,0,,,0,,
09b41f5e,09b41f5e,Dseu  Rohini,,28.728195,77.124352,,,0,,,0,,
6dd53b93,6dd53b93,Golden Crown Banquet,,28.727674,77.125107,,,0,,,0,,
e6577ca5,e6577ca5,Esi Hospital,,28.727186,77.125824,,,0,,,0,,
0fc9ed67,0fc9ed67,Samay Vihar Apartment,,28.724886,77.125999,,,0,,,0,,
4acc3327,4acc3327,Suvidha Apartment,,28.721626,77.123123,,,0,,,0,,
41fd0491,41fd0491,Sec 9 Rohini,,28.716101,77.11808,,,0,,,0,,
686cf4ba,686cf4ba,Unity Mall Rohini,,28.714653,77.116821,,,0,,,0,,
322e165b,322e165b,Dr Ambedkar Hospital,,28.715269,77.114883,,,0,,,0,,
af8272b2,af8272b2,Rohini West,,28.715008,77.115746,,,0,,,0,,
d6b26be8,d6b26be8,Madhav Kunj Sec 9,,28.713125,77.118393,,,0,,,0,,
7a1c74ec,7a1c74ec,D 12 Sector 7 Market,,28.711273,77.120911,,,0,,,0,,
